,id,original,story_main_num,story_sub_num,koma,who,inner,speaker,what,wakati,emotion,kakimoji,self_anotated,alter_emotion,wakati_sp
0,0,True,0,0,0,B,False,B,Aくんっていつもクールね,A くん って いつも クール ね,ニュートラル,False,False,,a くん って いつも クール ね
1,0,False,0,0,0,B,False,B,Aくんって絶え間なくクールね,A くん って 絶え間なく クール ね,ニュートラル,False,False,,a くん って 絶え 間 なく クール ね
2,0,False,0,0,0,B,False,B,Aくんって留め処無くクールね,A くん って 留め処無く クール ね,ニュートラル,False,False,,a くん って 留め 処 無く クール ね
3,0,False,0,0,0,B,False,B,Aくんってのべつ幕無しクールね,A くん って のべつ幕無し クール ね,ニュートラル,False,False,,a くん って の べ つ 幕 無し クール ね
4,0,False,0,0,0,B,False,B,Aくんって止め処なくクールね,A くん って 止め処なく クール ね,ニュートラル,False,False,,a くん って 止め 処 なく クール ね
5,0,False,0,0,0,B,False,B,Aくんって留め処なくクールね,A くん って 留め処なく クール ね,ニュートラル,False,False,,a くん って 留め 処 なく クール ね
6,0,False,0,0,0,B,False,B,Aくんって引きも切らずクールね,A くん って 引きも切らず クール ね,ニュートラル,False,False,,a くん って 引き も 切ら ず クール ね
7,0,False,0,0,0,B,False,B,Aくんって留処なくクールね,A くん って 留処なく クール ね,ニュートラル,False,False,,a くん って 留 処 なく クール ね
8,0,False,0,0,0,B,False,B,Aくんってのべつ幕なしクールね,A くん って のべつ幕なし クール ね,ニュートラル,False,False,,a くん って の べ つ 幕 なし クール ね
9,0,False,0,0,0,B,False,B,Aくんって止め処無くクールね,A くん って 止め処無く クール ね,ニュートラル,False,False,,a くん って 止め 処 無く クール ね
10,0,False,0,0,0,B,False,B,Aくんって常住坐臥クールね,A くん って 常住坐臥 クール ね,ニュートラル,False,False,,a くん って 常 住 坐臥 クール ね
11,0,False,0,0,0,B,False,B,Aくんって年がら年中クールね,A くん って 年がら年中 クール ね,ニュートラル,False,False,,a くん って 年 が ら 年中 クール ね
12,0,False,0,0,0,B,False,B,Aくんって変わりなくクールね,A くん って 変わりなく クール ね,ニュートラル,False,False,,a くん って 変わり なく クール ね
13,0,False,0,0,0,B,False,B,Aくんって極ってクールね,A くん って 極って クール ね,ニュートラル,False,False,,a くん って 極 って クール ね
14,0,False,0,0,0,B,False,B,Aくんって毎々クールね,A くん って 毎々 クール ね,ニュートラル,False,False,,a くん って 毎 々 クール ね
15,0,False,0,0,0,B,False,B,Aくんって続続クールね,A くん って 続続 クール ね,ニュートラル,False,False,,a くん って 続 続 クール ね
16,0,False,0,0,0,B,False,B,Aくんって年百年中クールね,A くん って 年百年中 クール ね,ニュートラル,False,False,,a くん って 年 百 年中 クール ね
17,0,False,0,0,0,B,False,B,Aくんってとめどなくクールね,A くん って とめどなく クール ね,ニュートラル,False,False,,a くん って と め ど なく クール ね
18,0,False,0,0,0,B,False,B,Aくんって止処なくクールね,A くん って 止処なく クール ね,ニュートラル,False,False,,a くん って 止 処 なく クール ね
19,0,False,0,0,0,B,False,B,Aくんっていつも冷やこいね,A くん って いつも 冷やこい ね,ニュートラル,False,False,,a くん って いつも 冷や こい ね
20,0,False,0,0,0,B,False,B,Aくんっていつも清涼ね,A くん って いつも 清涼 ね,ニュートラル,False,False,,a くん って いつも 清 涼 ね
21,0,False,0,0,0,B,False,B,Aくんっていつも冷やかね,A くん って いつも 冷やか ね,ニュートラル,False,False,,a くん って いつも 冷や かね
22,0,False,0,0,0,B,False,B,Aくんっていつも冷やりとしたね,A くん って いつも 冷やりとした ね,ニュートラル,False,False,,a くん って いつも 冷や り とした ね
23,0,False,0,0,0,B,False,B,Aくんっていつも涼しいね,A くん って いつも 涼しい ね,ニュートラル,False,False,,a くん って いつも 涼しい ね
24,0,False,0,0,0,B,False,B,Aくんっていつも冷こいね,A くん って いつも 冷こい ね,ニュートラル,False,False,,a くん って いつも 冷 こい ね
25,0,False,0,0,0,B,False,B,Aくんってのべつクールね,A くん って のべつ クール ね,ニュートラル,False,False,,a くん って の べ つ クール ね
26,0,False,0,0,0,B,False,B,Aくんっていつも冷たいね,A くん って いつも 冷たい ね,ニュートラル,False,False,,a くん って いつも 冷たい ね
27,0,False,0,0,0,B,False,B,Aくんっていつも涼やかね,A くん って いつも 涼やか ね,ニュートラル,False,False,,a くん って いつも 涼 や かね
28,0,False,0,0,0,B,False,B,Aくんって常クールね,A くん って 常 クール ね,ニュートラル,False,False,,a くん って 常 クール ね
29,0,False,0,0,0,B,False,B,Aくんって末始終クールね,A くん って 末始終 クール ね,ニュートラル,False,False,,a くん って 末 始 終 クール ね
30,0,False,0,0,0,B,False,B,Aくんって常住クールね,A くん って 常住 クール ね,ニュートラル,False,False,,a くん って 常 住 クール ね
31,0,False,0,0,0,B,False,B,Aくんって止処無くクールね,A くん って 止処無く クール ね,ニュートラル,False,False,,a くん って 止 処 無く クール ね
32,0,False,0,0,0,B,False,B,Aくんって頻りにクールね,A くん って 頻りに クール ね,ニュートラル,False,False,,a くん って 頻 り に クール ね
33,0,False,0,0,0,B,False,B,Aくんっていつも爽涼ね,A くん って いつも 爽涼 ね,ニュートラル,False,False,,a くん って いつも 爽 涼 ね
34,0,False,0,0,0,B,False,B,Aくんっていつも冷淡ね,A くん って いつも 冷淡 ね,ニュートラル,False,False,,a くん って いつも 冷 淡 ね
35,0,False,0,0,0,B,False,B,Aくんってしょっちゅうクールね,A くん って しょっちゅう クール ね,ニュートラル,False,False,,a くん って しょっちゅう クール ね
36,0,False,0,0,0,B,False,B,Aくんって年がら年百クールね,A くん って 年がら年百 クール ね,ニュートラル,False,False,,a くん って 年 が ら 年 百 クール ね
37,0,False,0,0,0,B,False,B,Aくんって明け暮れクールね,A くん って 明け暮れ クール ね,ニュートラル,False,False,,a くん って 明け 暮れ クール ね
38,0,False,0,0,0,B,False,B,Aくんって始終クールね,A くん って 始終 クール ね,ニュートラル,False,False,,a くん って 始 終 クール ね
39,0,False,0,0,0,B,False,B,Aくんって常々クールね,A くん って 常々 クール ね,ニュートラル,False,False,,a くん って 常 々 クール ね
40,0,False,0,0,0,B,False,B,Aくんってつねづねクールね,A くん って つねづね クール ね,ニュートラル,False,False,,a くん って つ ね づ ね クール ね
41,0,False,0,0,0,B,False,B,Aくんって極まってクールね,A くん って 極まって クール ね,ニュートラル,False,False,,a くん って 極 まって クール ね
42,0,False,0,0,0,B,False,B,Aくんって一定クールね,A くん って 一定 クール ね,ニュートラル,False,False,,a くん って 一定 クール ね
43,0,False,0,0,0,B,False,B,Aくんって年中クールね,A くん って 年中 クール ね,ニュートラル,False,False,,a くん って 年中 クール ね
44,0,False,0,0,0,B,False,B,Aくんって明暮クールね,A くん って 明暮 クール ね,ニュートラル,False,False,,a くん って 明 暮 クール ね
