,id,original,story_main_num,story_sub_num,koma,who,inner,speaker,what,wakati,emotion,kakimoji,self_anotated,alter_emotion,wakati_sp,subword
0,0,True,0,0,0,B,False,B,Aくんっていつもクールね,A くん って いつも クール ね,喜楽,False,False,,a くん って いつも クール ね,Ａ くん って いつも クール ね
1,0,False,0,0,0,B,False,B,Aくんって極ってクールね,A くん って 極って クール ね,喜楽,False,False,,a くん って 極 って クール ね,Ａ くん って 極 ##って クール ね
2,0,False,0,0,0,B,False,B,Aくんって変わりなくクールね,A くん って 変わりなく クール ね,喜楽,False,False,,a くん って 変わり なく クール ね,Ａ くん って 変わり ##なく クール ね
3,0,False,0,0,0,B,False,B,Aくんって年がら年中クールね,A くん って 年がら年中 クール ね,喜楽,False,False,,a くん って 年 が ら 年中 クール ね,Ａ くん って 年 ##がら ##年 ##中 クール ね
4,0,False,0,0,0,B,False,B,Aくんって常住坐臥クールね,A くん って 常住坐臥 クール ね,喜楽,False,False,,a くん って 常 住 坐臥 クール ね,Ａ くん って 常住坐臥 クール ね
5,0,False,0,0,0,B,False,B,Aくんって止め処無くクールね,A くん って 止め処無く クール ね,喜楽,False,False,,a くん って 止め 処 無く クール ね,Ａ くん って 止め ##処 ##無 ##く クール ね
6,0,False,0,0,0,B,False,B,Aくんって続続クールね,A くん って 続続 クール ね,喜楽,False,False,,a くん って 続 続 クール ね,Ａ くん って 続 ##続 クール ね
7,0,False,0,0,0,B,False,B,Aくんってのべつ幕なしクールね,A くん って のべつ幕なし クール ね,喜楽,False,False,,a くん って の べ つ 幕 なし クール ね,Ａ くん って のべ ##つ ##幕 ##なし クール ね
8,0,False,0,0,0,B,False,B,Aくんって引きも切らずクールね,A くん って 引きも切らず クール ね,喜楽,False,False,,a くん って 引き も 切ら ず クール ね,Ａ くん って 引き ##も ##切ら ##ず クール ね
9,0,False,0,0,0,B,False,B,Aくんって留め処なくクールね,A くん って 留め処なく クール ね,喜楽,False,False,,a くん って 留め 処 なく クール ね,Ａ くん って 留め ##処 ##なく クール ね
10,0,False,0,0,0,B,False,B,Aくんって止め処なくクールね,A くん って 止め処なく クール ね,喜楽,False,False,,a くん って 止め 処 なく クール ね,Ａ くん って 止め ##処 ##なく クール ね
