,id,original,story_main_num,story_sub_num,koma,who,inner,speaker,what,wakati,emotion,kakimoji,self_anotated,alter_emotion,wakati_sp,subword
0,0,TRUE,0,0,0,B,FALSE,B,Aくんっていつもクールね,A くん って いつも クール ね,喜楽,FALSE,FALSE,,a くん って いつも クール ね,Ａ くん って いつも クール ね
1,0,FALSE,0,0,0,B,FALSE,B,Aくんって年がら年百クールね,A くん って 年がら年百 クール ね,喜楽,FALSE,FALSE,,a くん って 年 が ら 年 百 クール ね,Ａ くん って 年 ##がら ##年 ##百 クール ね
2,0,FALSE,0,0,0,B,FALSE,B,Aくんって間断なくクールね,A くん って 間断なく クール ね,喜楽,FALSE,FALSE,,a くん って 間 断 なく クール ね,Ａ くん って 間 ##断 ##なく クール ね
3,0,FALSE,0,0,0,B,FALSE,B,Aくんって常常クールね,A くん って 常常 クール ね,喜楽,FALSE,FALSE,,a くん って 常 常 クール ね,Ａ くん って 常 ##常 クール ね
4,0,FALSE,0,0,0,B,FALSE,B,Aくんって毎毎クールね,A くん って 毎毎 クール ね,喜楽,FALSE,FALSE,,a くん って 毎 毎 クール ね,Ａ くん って 毎毎 クール ね
5,0,FALSE,0,0,0,B,FALSE,B,Aくんってつねにクールね,A くん って つねに クール ね,喜楽,FALSE,FALSE,,a くん って つ ね に クール ね,Ａ くん って つね ##に クール ね
6,0,FALSE,0,0,0,B,FALSE,B,Aくんって年がら年じゅうクールね,A くん って 年がら年じゅう クール ね,喜楽,FALSE,FALSE,,a くん って 年 が ら 年 じゅう クール ね,Ａ くん って 年 ##がら ##年 ##じゅう クール ね
7,0,FALSE,0,0,0,B,FALSE,B,Aくんって必ずクールね,A くん って 必ず クール ね,喜楽,FALSE,FALSE,,a くん って 必ず クール ね,Ａ くん って 必ず クール ね
8,0,FALSE,0,0,0,B,FALSE,B,Aくんって朝夕クールね,A くん って 朝夕 クール ね,喜楽,FALSE,FALSE,,a くん って 朝 夕 クール ね,Ａ くん って 朝夕 クール ね
9,0,FALSE,0,0,0,B,FALSE,B,Aくんって絶えずクールね,A くん って 絶えず クール ね,喜楽,FALSE,FALSE,,a くん って 絶え ず クール ね,Ａ くん って 絶えず クール ね
10,0,FALSE,0,0,0,B,FALSE,B,Aくんって四六時中クールね,A くん って 四六時中 クール ね,喜楽,FALSE,FALSE,,a くん って 四 六 時 中 クール ね,Ａ くん って 四 ##六 ##時 ##中 クール ね
11,0,FALSE,0,0,0,B,FALSE,B,Aくんって変わり無くクールね,A くん って 変わり無く クール ね,喜楽,FALSE,FALSE,,a くん って 変わり 無く クール ね,Ａ くん って 変わり ##無 ##く クール ね
12,0,FALSE,0,0,0,B,FALSE,B,Aくんって何時でもクールね,A くん って 何時でも クール ね,喜楽,FALSE,FALSE,,a くん って 何時 でも クール ね,Ａ くん って 何 ##時 ##で ##も クール ね
13,0,FALSE,0,0,0,B,FALSE,B,Aくんって日夕クールね,A くん って 日夕 クール ね,喜楽,FALSE,FALSE,,a くん って 日 夕 クール ね,Ａ くん って 日夕 クール ね
14,0,FALSE,0,0,0,B,FALSE,B,Aくんって決ってクールね,A くん って 決って クール ね,喜楽,FALSE,FALSE,,a くん って 決 って クール ね,Ａ くん って 決 ##って クール ね
